Artist,Track,SpotifyID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Key_mode_Ratio,duration_ms,billboard_hit
Deep Forest,Green And Blue,5YcwBA0mhnM5aFIr3NfG67,0.64,0.653,-10.349,0.0872,0.0484,5.11e-05,0.22,0.548,174.005,0.0,293267,0
Mando Diao,Popovic,2wENixyuiq3iCQPOiEgvIJ,0.377,0.867,-3.609,0.0324,0.113,0.0,0.208,0.676,131.501,0.0,301267,0
Dimmu Borgir,Puritania,7m8LtvnksLxuGI3TDzPL8D,0.303,0.969,-2.466,0.162,9.03e-05,0.844,0.417,0.163,109.384,8.0,186488,0
King Curtis,Ode To Billie Joe  (Live @ Fillmore West),79tj6npsvo0DjccLfAm6bU,0.632,0.623,-13.231,0.037,0.561,0.491,0.776,0.531,108.623,7.0,204253,0
Carl Smith,Hey Joe,6IDlzJSrrWM9Aekoe6LwK9,0.737,0.611,-8.686,0.0291,0.329,3.87e-06,0.0712,0.646,110.107,2.0,149360,0
Big Dee Irwin,Swinging On A Star,6DHaH3FvCAvANMrgXhuWag,0.786,0.771,-7.031,0.0361,0.742,0.0,0.243,0.901,108.169,10.0,159000,0
Charley Patton,Circle Round The Moon,5WMmDq5G6O3DcV3fcshXdp,0.308,0.427,-14.673,0.0363,0.885,0.757,0.425,0.584,131.319,5.0,154671,0
VHS Or Beta,You Got Me (The Juan Maclean Dub),1nn2pR26WrmfIvDGvxYb0S,0.821,0.948,-6.7,0.0384,0.107,0.874,0.61,0.607,126.003,1.0,501080,0
The Sterns,Supreme Girl,5QpOyRrkCQVIj15KlRumaH,0.499,0.924,-3.469,0.0336,0.00815,0.0,0.3,0.83,157.811,8.0,151827,0
Edgar De L'est,Slavinka,1gvuB9KKhnqhKwHbK7IrXo,0.461,0.472,-7.496,0.0347,0.394,0.00142,0.0833,0.556,129.365,0.0,320627,0
Amy Winehouse,In My Bed,4o2d25zcVbx5BEaHcKbtOI,0.539,0.809,-8.851,0.0683,0.114,1.02e-05,0.0715,0.724,95.631,0.0,317000,0
Cirrus,Boomerang (Reprise),4KmMHp8jhu3xrbi4AEuRbu,0.598,0.965,-6.7,0.0452,0.00961,0.662,0.146,0.402,90.017,5.0,193911,0
Pennywise,Lies,2XzzP3HXqdzK907sGFewD4,0.385,0.988,-4.11,0.0845,0.00029,0.0116,0.364,0.615,180.18,0.0,131480,0
Kane,Rain Down On Me,2rRY9uu2SQge80Ifw58cfU,0.463,0.879,-3.456,0.0602,0.00116,1.14e-05,0.11,0.334,132.884,0.0,246867,0
Vangelis,El Greco: Movement III,1Dgj3OmZqCWtvAeysaCvTP,0.205,0.082,-19.806,0.0325,0.983,0.891,0.147,0.0757,177.19,7.0,408000,0
Sara Melson,Anywhere Anytime,38KTv1NFle4KYWxTvKi4g4,0.454,0.808,-4.164,0.0453,0.153,0.0,0.288,0.811,168.077,5.0,164680,0
Memphis Jug Band,Going Back To Memphis,2ONB5wzlVtbzi3tflOlO2C,0.732,0.379,-11.918,0.0515,0.892,9.52e-05,0.265,0.844,143.145,1.0,147215,0
Foals,Red Socks Pugie,0vKUa69tBmiB57LbfmNaQV,0.538,0.897,-6.721,0.0453,0.147,0.000516,0.104,0.385,156.977,5.0,315253,0
The Knux,Bang! Bang!,6fpkdMbodsaNHS2PZ7QLTe,0.704,0.729,-4.601,0.146,0.00563,3.76e-06,0.123,0.526,140.052,2.0,200560,0
Mariano Yanani,Why Should I Cry For You,7Gvc2vEeJyLgIHdvuibPwY,0.269,0.169,-15.746,0.0368,0.965,0.876,0.112,0.28,158.971,8.0,180653,0
Gertrudis,Oye,4U6sGG5jFTYQ0wn2TIIhB4,0.704,0.918,-7.738,0.0464,0.386,0.205,0.765,0.889,114.252,0.0,263480,0
The Dillinger Escape Plan,Parasitic Twins,6yuj9S4dHnX7GunKShtNTW,0.52,0.751,-7.204,0.0403,0.0883,0.0736,0.245,0.063,119.944,0.0,279333,0
Jack Off Jill,Yellow Brick Road,24s679RUbT4oEznIGBdyCI,0.358,0.909,-4.923,0.111,0.00143,0.0665,0.289,0.43,154.74,0.0,137947,0
Beenie Man,Politrix,1FFdNq62yRh7Uvkaall6A0,0.76,0.633,-7.355,0.218,0.435,0.0,0.0423,0.88,98.025,8.0,214613,0
Kenny Rogers,Where Does Rosie Go?,339OaRtvUa31Aypb5ZEQxw,0.491,0.71,-13.061,0.0431,0.504,8.26e-05,0.121,0.814,153.502,5.0,140640,0
Bombay Rockers,Rock Tha Party,0NoNwbg1fnrb3DHCZ8We6q,0.831,0.728,-4.625,0.0459,0.0865,0.0,0.113,0.896,109.977,8.0,212653,0
Aesop Rock,Train Buffer,7rGvtjsI8G0sOlsk0nhOGD,0.632,0.872,-4.95,0.237,0.226,5.68e-06,0.309,0.558,86.979,11.0,348640,0
Rakim,Skit,3uBZ6nXhlHSMgPLmJV1FRM,0.636,0.135,-18.586,0.283,0.566,0.0,0.0972,0.965,70.566,0.0,19067,0
Midwest Product,Motivator,1c3qEWJoUEwXH5qBJuQE9r,0.718,0.691,-9.118,0.0408,0.00999,0.877,0.1,0.349,140.998,10.0,301733,0
From Autumn To Ashes,IV,3FS60eFrGotm75VV7rODJV,0.219,0.21,-11.314,0.0363,0.873,0.88,0.237,0.158,97.021,0.0,147640,0
Buju Banton,Destiny,2ZW0A9cFELkFsCT5UkWjkG,0.82,0.683,-7.686,0.0613,0.0231,0.0,0.217,0.795,134.916,4.0,238267,0
Sonny Landreth,She Left Me A Mule ,0Nzhb4gHYjieDyMFH9ZP5B,0.752,0.613,-10.618,0.0292,0.396,0.0199,0.246,0.843,131.468,9.0,212640,0
Warrior King,Breath Of Fresh Air,7zvTud79iV8llJM1nyzS1P,0.594,0.712,-5.973,0.237,0.399,0.0,0.181,0.778,82.899,10.0,225787,0
Workhorse,High Horse,2kvJR2zbrwlBSXgreYcI5V,0.42,0.669,-7.092,0.0287,0.121,0.131,0.0957,0.515,114.445,7.0,251413,0
